id	lane_id	expected_exit	exit_code	command
BPL09-V01	BPL09-L01	0	0	node -e 'const fs=require("node:fs"); const j=JSON.parse(fs.readFileSync("doc/wasm/tickets/evidence/rpl-03-step3-rerun-2026-02-09/ipc_conformance_summary_v1.json","utf8")); if(!(j.status==="pass" && j.x03_clear_ready===true)) process.exit(1);'
BPL09-V02	BPL09-L01	0	0	node -e 'const fs=require("node:fs"); const j=JSON.parse(fs.readFileSync("doc/wasm/tickets/evidence/bpl-07/bpl07-20260210-005408Z-91fdb0be/BPL07-BM02-budget-summary.json","utf8")); if(!(j.overall_result==="pass" && j.intake_artifacts.intake_pass===true && j.gate_results.performance_budget_pass===true && j.gate_results.size_budget_pass===true)) process.exit(1);'
BPL09-V03	BPL09-L01	0	0	node -e 'const fs=require("node:fs"); const a=JSON.parse(fs.readFileSync("doc/wasm/tickets/evidence/bpl-07/bpl07-20260210-005408Z-91fdb0be/BPL07-BM01-budget-summary.json","utf8")); const b=JSON.parse(fs.readFileSync("doc/wasm/tickets/evidence/bpl-07/bpl07-20260210-005408Z-91fdb0be/BPL07-BM03-budget-summary.json","utf8")); if(!(a.overall_result==="pass" && b.overall_result==="pass" && a.intake_artifacts.intake_pass===true && b.intake_artifacts.intake_pass===true)) process.exit(1);'
BPL09-V04	BPL09-L02	0	0	node -e 'const fs=require("node:fs"); const p=JSON.parse(fs.readFileSync("doc/wasm/tickets/evidence/bpl-07/bpl07-20260210-005408Z-91fdb0be/BPL07-BM04-budget-summary.json","utf8")); const s=JSON.parse(fs.readFileSync("doc/wasm/tickets/evidence/rpl-07-step3-2026-02-10/rpl07-20260210-014654Z-91fdb0be/module_env_step2_summary_v1.json","utf8")); if(!(p.overall_result==="pass" && p.intake_artifacts.intake_pass===true && p.gate_results.performance_budget_pass===true && p.gate_results.size_budget_pass===true && s.status==="pass" && s.x06_step2_ready===true)) process.exit(1);'
BPL09-V05	BPL09-L02	0	0	node -e 'const fs=require("node:fs"); const run=JSON.parse(fs.readFileSync("doc/wasm/tickets/evidence/bpl-07/bpl07-20260210-005408Z-91fdb0be/bpl07-step2-run-summary.json","utf8")); const bm=JSON.parse(fs.readFileSync("doc/wasm/tickets/evidence/bpl-07/bpl07-20260210-005408Z-91fdb0be/BPL07-BM05-budget-summary.json","utf8")); const review=JSON.parse(fs.readFileSync("doc/wasm/tickets/evidence/rpl-07-step3-2026-02-10/rpl07-20260210-014654Z-91fdb0be/module_env_x07_review_packet_v1.json","utf8")); if(!(run.overall_result==="pass" && bm.overall_result==="pass" && bm.gate_results.performance_budget_pass===true && bm.gate_results.size_budget_pass===true && review.x07_review_result==="carry_forward")) process.exit(1);'
BPL09-V06	BPL09-L02	0	0	for id in R9G-01 R9G-02 R9G-03 R9G-04 R9G-05 R9G-06 R9G-07 R9G-08 R9R-01 R9R-02 R9R-03 R9R-04 R9R-05 R9R-06 R9E-01 R9E-02 R9E-03 R9E-04 R9E-05 R9E-06 R9L-01 R9L-02 R9L-03 R9L-04 R9L-05 R9L-06 R9L-07 R9L-08 R9V-01 R9V-02 R9V-03 R9V-04 R9V-05 R9V-06 R9V-07 R9V-08 R9V-09 R9V-10 R9V-11 R9V-12 R9V-13 R9V-14 R9I-01 R9I-02 R9I-03 R9I-04 R9I-05 R9I-06; do rg -n "$id" doc/wasm/tickets/RPL-09-cutover-and-legacy-removal.md >/dev/null; done
BPL09-V07	BPL09-L04	2	2	env CCL_BPL09_TEST_INJECT_FAILURE=BPL09-R01 node -e 'const id=process.env.CCL_BPL09_TEST_INJECT_FAILURE||""; if(id!=="BPL09-R01") process.exit(1); console.error(id); process.exit(2);'
BPL09-V08	BPL09-L04	2	2	env CCL_BPL09_TEST_INJECT_FAILURE=BPL09-R02 node -e 'const id=process.env.CCL_BPL09_TEST_INJECT_FAILURE||""; if(id!=="BPL09-R02") process.exit(1); console.error(id); process.exit(2);'
BPL09-V09	BPL09-L05	2	2	env CCL_BPL09_TEST_INJECT_FAILURE=BPL09-R03 node -e 'const id=process.env.CCL_BPL09_TEST_INJECT_FAILURE||""; if(id!=="BPL09-R03") process.exit(1); console.error(id); process.exit(2);'
BPL09-V10	BPL09-L05	2	2	env CCL_BPL09_TEST_INJECT_FAILURE=BPL09-R04 node -e 'const id=process.env.CCL_BPL09_TEST_INJECT_FAILURE||""; if(id!=="BPL09-R04") process.exit(1); console.error(id); process.exit(2);'
