id	lane_id	exit_code	expected_failure	observed_failure	artifact_budget_measurement_event_v1	artifact_budget_row_summary_v1	artifact_budget_step2_summary_v1	artifact_budget_x07_review_packet_v1	artifact_budget_doc_sync_record_v1	summary_status	validation_assertion_pass	notes
R8V-01	R8L-01	0	none	none	yes	no	no	no	no	pass	true	assertions met
R8V-02	R8L-02	0	none	none	no	yes	no	no	no	pass	true	assertions met
R8V-03	R8L-03	0	none	none	yes	no	no	no	no	pass	true	assertions met
R8V-04	R8L-04	0	none	none	yes	no	no	no	no	pass	true	assertions met
R8V-05	R8L-03	0	none	none	yes	no	no	no	no	pass	true	assertions met
R8V-06	R8L-07	0	none	none	no	no	no	yes	no	pass	true	assertions met
R8V-07	R8L-05	2	RPL08-E001	RPL08-E001	no	no	no	no	no	pass	true	assertions met
R8V-08	R8L-06	2	RPL08-E002	RPL08-E002	no	no	no	no	no	pass	true	assertions met
R8V-09	R8L-05	2	RPL08-E003	RPL08-E003	no	no	no	no	no	pass	true	assertions met
R8V-10	R8L-05	2	RPL08-E004	RPL08-E004	no	no	no	no	no	pass	true	assertions met
R8V-11	R8L-05	2	RPL08-E008	RPL08-E008	no	no	no	no	no	pass	true	assertions met
R8V-12	R8L-05	2	RPL08-E012	RPL08-E012	no	no	no	no	no	pass	true	assertions met
R8V-13	R8L-08	0	none	none	no	no	no	no	yes	pass	true	assertions met
R8V-14	R8L-08	0	none	none	no	no	yes	no	yes	pass	true	assertions met
